,,x,y,uuid,Seat_ID
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X1,101.99163818359376,-81.93940429687518,dabf3f7a-2c6b-1417-8761-77c156ca4b08,X1
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X2,121.99163818359376,-81.93940429687518,3ac48ff7-5100-f540-60bc-a1b406286954,X2
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X3,141.99163818359375,-81.93940429687518,4cf320cb-8ac5-fd7c-2949-f55a10be1e87,X3
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X4,161.99163818359375,-81.93940429687518,198a84d6-05f9-8046-32d1-d6ff5cfc5a1f,X4
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X5,181.89163818359384,-81.93940429687518,2a3bd6df-187b-9adb-b2af-08e2b64d434b,X5
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X6,201.89163818359384,-81.93940429687518,1699f98d-46a8-4b37-0741-a44059f0c160,X6
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X7,221.89163818359384,-81.93940429687518,a0558edf-96ea-4454-76a8-b618a79b83cb,X7
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W1,101.99163818359376,-101.93940429687518,521f747d-688e-7eef-8324-a572dfa7cec3,W1
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W2,121.99163818359376,-101.93940429687518,87a86146-0ffd-134d-7550-8d390ed8f6fb,W2
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W3,141.99163818359375,-101.93940429687518,26233a72-7fd6-e690-5e27-5ecf3cb29bc6,W3
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W4,161.99163818359375,-101.93940429687518,2d2c0761-7571-71cd-de38-f91625e957dc,W4
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W5,181.89163818359384,-101.93940429687518,85db9398-8d0f-6ddc-36d7-e6c5cc2368fd,W5
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W6,201.89163818359384,-101.93940429687518,8ef94e1b-6680-a5fd-b034-e563b6728fba,W6
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W7,221.89163818359384,-101.93940429687518,de386a83-f9b9-543c-f2bc-8412a5f7751d,W7
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-Q1,102.09163818359366,-203.4394042968752,259efe14-1327-e0a4-b4ba-0b18e3bc2fea,Q1
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-Q2,122.09163818359366,-203.4394042968752,6f2dba24-8c77-7623-5f05-610af038fd25,Q2
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-Q3,142.09163818359366,-203.4394042968752,77ca4144-4b6f-428e-a74e-76141a03919b,Q3
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-Q4,162.09163818359366,-203.4394042968752,a93b389c-8b40-9ae6-57de-b8170b0bd38f,Q4
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-Q5,181.9916381835937,-203.4394042968752,2bad785a-f8b0-47d5-65e2-76d0dc9abcf4,Q5
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-Q6,201.9916381835937,-203.4394042968752,bef1ab5f-d6e6-a0a6-80bb-e806a4729848,Q6
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-Q7,221.9916381835937,-203.4394042968752,afcc7dd2-ef23-caca-a612-0a700eec8535,Q7
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U1,102.09163818359366,-123.43940429687518,51c49493-7007-2682-8102-70a74b9d15f7,U1
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U2,122.09163818359366,-123.43940429687518,9ee126c7-f5d1-17ff-3c33-015059594410,U2
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U3,142.09163818359366,-123.43940429687518,5debf420-b0ba-f7fe-8a41-a9a0c9c97e95,U3
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U4,162.09163818359366,-123.43940429687518,a7cd2e84-9312-4e24-e7f7-84407e7e9be1,U4
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U5,181.9916381835937,-123.43940429687518,4ba56ae1-ef36-f6e8-0f89-dfcf1986831a,U5
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U6,201.9916381835937,-123.43940429687518,da0b9b51-f3b1-7c7e-e8ba-2d9724c231aa,U6
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U7,221.9916381835937,-123.43940429687518,98f17f17-5663-f61f-cc60-253a1f6b91ce,U7
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T1,102.09163818359366,-143.43940429687518,ae90e9ad-85fd-36dd-72d7-2f27e6abe018,T1
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T2,122.09163818359366,-143.43940429687518,8eda3640-3081-6ad7-ab1e-9ccfb9f066d9,T2
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T3,142.09163818359366,-143.43940429687518,cbf455b8-0589-1628-bc38-7600026052a3,T3
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T4,162.09163818359366,-143.43940429687518,76ccdc5e-08ad-1438-2faa-5db8a2c53162,T4
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T5,181.9916381835937,-143.43940429687518,8b77dc83-13b3-f363-caaa-ca114bb46d67,T5
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T6,201.9916381835937,-143.43940429687518,931c2006-690b-ab6d-383d-698c241a900a,T6
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T7,221.9916381835937,-143.43940429687518,3d14e06f-b600-8a1d-b39f-7f3937105e1f,T7
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-S1,102.09163818359366,-163.43940429687518,cbd2e41a-f0c3-1bd2-ddc7-b47f45b1ebfd,S1
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-S2,122.09163818359366,-163.43940429687518,21be1432-dbe0-1436-273a-c497dd575596,S2
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-S3,142.09163818359366,-163.43940429687518,82dbc8f4-c557-4789-340e-1de832185063,S3
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-S4,162.09163818359366,-163.43940429687518,d1ba6733-f426-dfa0-8b54-24bfbcb89723,S4
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-S5,181.9916381835937,-163.43940429687518,7919fa1a-edc5-fde0-3f34-045bef6406e9,S5
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-S6,201.9916381835937,-163.43940429687518,57687a10-f22c-be13-8c65-ef0cf4b4b29e,S6
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-S7,221.9916381835937,-163.43940429687518,ae82739d-afa7-ad5f-3726-ef65337f81f1,S7
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-R1,102.09163818359366,-183.4394042968752,75e42fcc-23e1-c12a-6316-45dd44c81feb,R1
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-R2,122.09163818359366,-183.4394042968752,387f5c03-cf95-ea41-b11c-c6b72ba5b949,R2
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-R3,142.09163818359366,-183.4394042968752,3646e87f-d053-0e33-ee75-469f4d8a2615,R3
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-R4,162.09163818359366,-183.4394042968752,37c9442c-f4c7-3509-ffa3-445dc885e72d,R4
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-R5,181.9916381835937,-183.4394042968752,fa2dce55-adae-e515-bbc8-a854d183ba0c,R5
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-R6,201.9916381835937,-183.4394042968752,19f0d911-a051-a15f-d065-33841e09793f,R6
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-R7,221.9916381835937,-183.4394042968752,40290170-adca-45b4-a10b-e2c2c7a3c8b1,R7
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X8,299.9916381835937,-83.93940429687518,abd7fb4f-83c1-13e2-2ba6-0eefcb349614,X8
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X9,319.9916381835937,-83.93940429687518,578f28fa-8d1d-0299-23ec-83a5df710f45,X9
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X10,339.9916381835937,-83.93940429687518,5a522c3a-c0c1-768b-709c-bcd72d9d1f25,X10
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X11,359.9916381835937,-83.93940429687518,c1cc7b60-5022-a307-08cc-1ce40fc562ad,X11
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X12,379.8916381835934,-83.93940429687518,9fccbfa0-7fd7-355d-c255-dac6a496688c,X12
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X13,399.8916381835934,-83.93940429687518,dae8d5b2-406d-fb07-f9dd-0e28183b626a,X13
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X14,419.8916381835934,-83.93940429687518,38b5da02-2d98-82d7-6ca2-8a89a599f954,X14
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X15,439.8916381835934,-83.93940429687518,c22b092c-eac3-0284-72e7-22871e6a9807,X15
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X16,459.8916381835934,-83.93940429687518,8f72f55c-04fd-4733-c66c-d5db305bc836,X16
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X17,479.8916381835934,-83.93940429687518,c00fc010-c708-d25d-eb20-07bffb229394,X17
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X18,499.8916381835934,-83.93940429687518,563ca798-254f-3fe7-e4ae-1034b0883053,X18
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X19,519.7916381835939,-83.93940429687518,cb380c67-5be2-becc-858a-2c7c9bde55aa,X19
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-X20,539.7916381835939,-83.93940429687518,551ed59e-87ec-9354-b266-218baf7a8a3c,X20
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W8,299.9916381835937,-103.93940429687518,e8d42180-728c-dfa5-ff03-b464fbfd916d,W8
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W9,319.9916381835937,-103.93940429687518,ca5ed549-b635-6c0e-a1ff-149c94ea7e33,W9
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W10,339.9916381835937,-103.93940429687518,4c7990f6-6507-5a93-934c-e931b26d02b3,W10
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W11,359.9916381835937,-103.93940429687518,69cf1387-94dd-499f-c66a-f30a71ad0d16,W11
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W12,379.8916381835934,-103.93940429687518,9bbc5b8e-b6f0-18ce-baba-ac2f24da4fbe,W12
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W13,399.8916381835934,-103.93940429687518,37151928-bc70-c371-f3b9-4117653f3791,W13
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W14,419.8916381835934,-103.93940429687518,f58efdb1-6855-7b2d-e970-7afb6f1ebc55,W14
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W15,439.8916381835934,-103.93940429687518,22d6ff68-0ed1-ff0c-3223-afa1ffb676f3,W15
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W16,459.8916381835934,-103.93940429687518,6f214781-bbce-04ea-0c9b-f2967e4a37d3,W16
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W17,479.8916381835934,-103.93940429687518,d1bc968d-11b3-8826-6851-8607b4d1feec,W17
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W18,499.8916381835934,-103.93940429687518,008b8076-d231-24ec-197f-0688465ed2b3,W18
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W19,519.7916381835939,-103.93940429687518,cef1878d-785d-be25-d7ce-144b9662d8ab,W19
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-W20,539.7916381835939,-103.93940429687518,54f8fd0c-e074-9368-b385-dc018161c454,W20
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U8,299.9916381835937,-125.23940429687492,5bcdcb90-b00d-10b8-cd54-0015d0fcb0d1,U8
